,pv,wind,demand_el,demand_th
484,0.0,0.722,112.125,455.5833682505661
485,0.0,0.771,128.70000000000002,670.2073250231806
486,0.0,0.816,162.82500000000002,687.0219689941781
487,0.043,0.83,250.57500000000002,545.308612179407
488,0.106,0.808,240.82500000000002,631.314167277628
489,0.077,0.825,219.375,405.0682544338546
490,0.075,0.725,196.95000000000002,684.14837649186
491,0.115,0.624,198.9,343.72486364808634
492,0.161,0.569,228.15,446.5791534516443
493,0.134,0.558,218.4,515.0623694806469
494,0.037,0.602,179.4,635.8723719315365
495,0.0,0.64,152.1,324.83664325520215
496,0.0,0.628,148.20000000000002,500.9397274226415
497,0.0,0.601,141.375,531.0457602664151
498,0.0,0.591,137.475,494.56947291374667
499,0.0,0.561,140.4,372.14769291374665
500,0.0,0.638,137.475,247.25789006997312
501,0.0,0.794,132.6,267.3279666368734
502,0.0,0.879,127.72500000000001,381.4456928108896
503,0.0,0.912,120.9,302.56149800269543
504,0.0,0.918,118.95,298.11125151224354
505,0.0,0.88,114.075,320.3908420286328
506,0.0,0.856,111.15,267.5961371720743
507,0.0,0.86,111.15,324.52263791797
508,0.0,0.848,111.15,406.2343145532028
509,0.0,0.772,128.70000000000002,652.8047396597196
510,0.0,0.63,157.95000000000002,607.4771098892261
511,0.003,0.458,260.325,487.40660948759
512,0.029,0.346,241.8,638.6951240572656
513,0.09,0.225,247.65,611.8018487416941
514,0.149,0.14,217.425,512.8487533687464
515,0.141,0.111,195.0,569.3977627949805
516,0.105,0.086,208.65,456.2428026802273
517,0.07,0.054,181.35,611.9631875941624
518,0.041,0.046,150.15,464.15752262285076
519,0.002,0.07,126.75,622.6724827376039
520,0.0,0.093,116.025,407.26232828268155
521,0.0,0.093,127.72500000000001,472.33453371300607
522,0.0,0.089,137.475,455.69992405726555
523,0.0,0.055,132.6,410.91410908595395
524,0.0,0.039,124.80000000000001,321.7674737703826
525,0.0,0.057,124.80000000000001,712.6499226802273
526,0.0,0.061,126.75,428.3830156433582
527,0.0,0.091,121.875,482.0179427745285
528,0.0,0.097,110.175,447.981504282022
529,0.0,0.095,106.275,188.73318453345988
